| Seance | Duree (min) | Debut de la seance | Fin de la seance | Temperature (°C) | Rating |
|--------|-------------|--------------------|------------------|------------------|--------|
|   1    |     190     |        540         |       730        |       20         |   7    |
|   2    |     200     |        630         |       830        |       25         |   8    |
|   3    |     195     |        720         |       915        |       18         |   6    |
|   4    |     210     |        825         |      1035        |       28         |   5    |
|   5    |     185     |        960         |      1145        |       22         |   6    |
|   6    |     195     |        510         |       705        |       24         |   4    |
|   7    |     200     |        615         |       815        |       19         |   6    |
|   8    |     220     |        740         |       960        |       29         |   9    |
|   9    |     230     |        840         |      1070        |       23         |   9    |
|   10   |     205     |        930         |      1135        |       25         |   8    |
|   11   |     190     |        720         |       910        |       18         |   6    |
|   12   |     225     |        910         |      1135        |       30         |   9    |
|   13   |     205     |        510         |       715        |       25         |   7    |
|   14   |     240     |        960         |      1200        |       22         |   5    |
|   15   |     195     |        540         |       735        |       31         |   4    |
|   16   |     190     |        825         |      1015        |       20         |   7    |
|   17   |     215     |        615         |       830        |       26         |   8    |
|   18   |     190     |        720         |       910        |       18         |   6    |
|   19   |     225     |        570         |       795        |       32         |   9    |
|   20   |     200     |        830         |      1030        |       23         |   7    |
|   21   |     205     |        510         |       715        |       24         |   5    |
|   22   |     220     |        960         |      1180        |       22         |   8    |
|   23   |     230     |        570         |       800        |       35         |   0    |
|   24   |     210     |        825         |      1035        |       27         |   4    |
|   25   |     205     |        615         |       820        |       19         |   6    |
|   26   |     190     |        740         |       930        |       28         |   9    |
|   27   |     210     |        840         |      1050        |       23         |   5    |
|   28   |     195     |        930         |      1125        |       25         |   8    |
|   29   |     200     |        825         |      1025        |       20         |   7    |
|   30   |     215     |        740         |       955        |       29         |   0    |
|   31   |     210     |        510         |       720        |       24         |   5    |
|   32   |     195     |        960         |      1155        |       22         |   1    |
|   33   |     225     |        540         |       765        |       31         |   1    |
|   34   |     220     |        825         |      1045        |       20         |   7    |
|   35   |     190     |        615         |       805        |       26         |   8    |
|   36   |     195     |        720         |       915        |       18         |   6    |
|   37   |     230     |        570         |       800        |       32         |   1    |
|   38   |     200     |        830         |      1030        |       23         |   7    |
|   39   |     220     |        510         |       730        |       19         |   4    |
|   40   |     195     |        960         |      1155        |       22         |   2    |
|   41   |     235     |        910         |      1145        |       30         |   5    |
|   42   |     205     |        930         |      1135        |       25         |   8    |
|   43   |     190     |        720         |       910        |       18         |   6    |
|   44   |     220     |        740         |       960        |       28         |   1    |
|   45   |     190     |        960         |      1150        |       22         |  10    |
|   46   |     240     |        510         |       750        |       23         |   8    |
|   47   |     200     |        615         |       815        |       19         |   6    |
|   48   |     225     |        740         |       965        |       29         |   9    |
|   49   |     210     |        840         |      1050        |       23         |   9    |
|   50   |     195     |        930         |      1125        |       25         |   8    |
|   51   |     190     |        720         |       910        |       18         |   6    |
|   52   |     230     |        910         |      1140        |       30         |   3    |
|   53   |     195     |        540         |       735        |       20         |   7    |
|   54   |     200     |        630         |       830        |       25         |   8    |
|   55   |     190     |        720         |       910        |       18         |   6    |
|   56   |     210     |        825         |      1035        |       28         |   9    |
|   57   |     185     |        960         |      1145        |       22         |   6    |
|   58   |     195     |        510         |       705        |       24         |   4    |
|   59   |     200     |        615         |       815        |       19         |   6    |
|   60   |     220     |        740         |       960        |       29         |   4    |
|   61   |     230     |        840         |      1070        |       23         |   9    |
|   62   |     205     |        930         |      1135        |       25         |   8    |
|   63   |     190     |        720         |       910        |       18         |   6    |
|   64   |     225     |        910         |      1135        |       30         |   9    |
|   65   |     205     |        510         |       715        |       25         |   7    |
|   66   |     240     |        960         |      1200        |       22         |   5    |
|   67   |     195     |        540         |       735        |       31         |   3    |
|   68   |     190     |        825         |      1015        |       20         |   7    |
|   69   |     215     |        615         |       830        |       26         |   8    |
|   70   |     190     |        720         |       910        |       18         |   6    |
|   71   |     225     |        570         |       795        |       32         |   1    |
|   72   |     200     |        830         |      1030        |       23         |   7    |
|   73   |     205     |        510         |       715        |       24         |   5    |
|   74   |     220     |        960         |      1180        |       22         |   8    |
|   75   |     230     |        570         |       800        |       35         |   9    |
|   76   |     210     |        825         |      1035        |       27         |   6    |
|   77   |     205     |        615         |       820        |       19         |   6    |
|   78   |     190     |        740         |       930        |       28         |   1    |
|   79   |     210     |        840         |      1050        |       23         |   5    |
|   80   |     195     |        930         |      1125        |       25         |   8    |
|   81   |     190     |        720         |       910        |       18         |   6    |
|   82   |     230     |        910         |      1140        |       30         |   4    |
|   83   |     195     |        540         |       735        |       20         |   7    |
|   84   |     200     |        630         |       830        |       25         |   8    |
|   85   |     190     |        720         |       910        |       18         |   6    |
|   86   |     210     |        825         |      1035        |       28         |   6    |
|   87   |     185     |        960         |      1145        |       22         |   6    |
|   88   |     195     |        510         |       705        |       24         |   4    |
|   89   |     200     |        615         |       815        |       19         |   6    |
|   90   |     220     |        740         |       960        |       29         |   5    |
|   91   |     230     |        840         |      1070        |       23         |   9    |
|   92   |     205     |        930         |      1135        |       25         |   8    |
|   93   |     190     |        720         |       910        |       18         |   6    |
|   94   |     225     |        910         |      1135        |       30         |   0    |
|   95   |     205     |        510         |       715        |       25         |   7    |
|   96   |     240     |        960         |      1200        |       22         |   5    |
|   97   |     195     |        540         |       735        |       31         |   2    |
|   98   |     190     |        825         |      1015        |       20         |   7    |
|   99   |     215     |         615        |        830       |       26         |   7    |
|  100   |     190     |         720        |        910       |       18         |   6    |
